Policy_ID,Corporate_ID,Policy_Start_Date,Policy_End_Date,Policy_Status
POL0001,CORP001,2025-11-15,2026-11-15,Renewed
POL0002,CORP002,2024-11-08,2025-11-08,Renewed
POL0003,CORP003,2024-05-24,2025-05-24,Pending Renewal
POL0004,CORP004,2024-11-06,2025-11-06,Renewed
POL0005,CORP005,2024-03-06,2025-03-06,Pending Renewal
POL0006,CORP006,2025-07-19,2026-07-19,Active
POL0007,CORP007,2024-12-04,2025-12-04,Active
POL0008,CORP008,2025-04-13,2026-04-13,Pending Renewal
POL0009,CORP009,2024-01-12,2025-01-12,Active
POL0010,CORP010,2024-11-23,2025-11-23,Active
POL0011,CORP011,2024-10-31,2025-10-31,Active
POL0012,CORP012,2024-11-06,2025-11-06,Active
POL0013,CORP013,2025-01-14,2026-01-14,Renewed
POL0014,CORP014,2024-05-03,2025-05-03,Active
POL0015,CORP015,2025-04-11,2026-04-11,Active
POL0016,CORP016,2025-08-09,2026-08-09,Active
POL0017,CORP017,2024-07-06,2025-07-06,Active
POL0018,CORP018,2025-09-08,2026-09-08,Active
POL0019,CORP019,2024-01-26,2025-01-26,Renewed
POL0020,CORP020,2025-05-15,2026-05-15,Active
POL0021,CORP021,2024-02-14,2025-02-14,Pending Renewal
POL0022,CORP022,2024-09-12,2025-09-12,Active
POL0023,CORP023,2025-11-12,2026-11-12,Active
POL0024,CORP024,2024-08-19,2025-08-19,Pending Renewal
POL0025,CORP025,2024-01-26,2025-01-26,Active
POL0026,CORP026,2024-12-24,2025-12-24,Active
POL0027,CORP027,2024-03-30,2025-03-30,Active
POL0028,CORP028,2024-11-15,2025-11-15,Pending Renewal
POL0029,CORP029,2025-02-13,2026-02-13,Active
POL0030,CORP030,2024-10-23,2025-10-23,Active
POL0031,CORP031,2024-01-16,2025-01-16,Active
POL0032,CORP032,2025-04-24,2026-04-24,Renewed
POL0033,CORP033,2024-01-31,2025-01-31,Active
POL0034,CORP034,2024-08-24,2025-08-24,Active
POL0035,CORP035,2025-03-20,2026-03-20,Renewed
POL0036,CORP036,2024-09-08,2025-09-08,Active
POL0037,CORP037,2024-11-03,2025-11-03,Pending Renewal
POL0038,CORP038,2025-06-01,2026-06-01,Active
POL0039,CORP039,2025-08-08,2026-08-08,Active
POL0040,CORP040,2024-04-12,2025-04-12,Renewed
POL0041,CORP041,2025-06-19,2026-06-19,Renewed
POL0042,CORP042,2025-05-01,2026-05-01,Pending Renewal
POL0043,CORP043,2024-04-16,2025-04-16,Active
POL0044,CORP044,2025-10-23,2026-10-23,Active
POL0045,CORP045,2024-01-17,2025-01-17,Active
POL0046,CORP046,2024-07-21,2025-07-21,Pending Renewal
POL0047,CORP047,2025-03-25,2026-03-25,Pending Renewal
POL0048,CORP048,2024-10-17,2025-10-17,Active
POL0049,CORP049,2024-08-25,2025-08-25,Active
POL0050,CORP050,2025-09-20,2026-09-20,Active
POL0051,CORP051,2025-07-14,2026-07-14,Renewed
POL0052,CORP052,2024-08-26,2025-08-26,Active
POL0053,CORP053,2025-03-26,2026-03-26,Active
POL0054,CORP054,2024-06-01,2025-06-01,Active
POL0055,CORP055,2025-10-06,2026-10-06,Active
POL0056,CORP056,2024-05-05,2025-05-05,Active
POL0057,CORP057,2024-04-25,2025-04-25,Active
POL0058,CORP058,2024-02-15,2025-02-15,Active
POL0059,CORP059,2025-12-06,2026-12-06,Active
POL0060,CORP060,2025-01-25,2026-01-25,Active
POL0061,CORP061,2024-12-20,2025-12-20,Active
POL0062,CORP062,2025-02-23,2026-02-23,Renewed
POL0063,CORP063,2025-02-22,2026-02-22,Active
POL0064,CORP064,2025-02-14,2026-02-14,Renewed
POL0065,CORP065,2024-10-12,2025-10-12,Active
POL0066,CORP066,2025-12-05,2026-12-05,Renewed
POL0067,CORP067,2025-03-08,2026-03-08,Renewed
POL0068,CORP068,2024-05-08,2025-05-08,Active
POL0069,CORP069,2025-06-25,2026-06-25,Pending Renewal
POL0070,CORP070,2025-08-23,2026-08-23,Active
